site,shell_num,growth_period,dist_addition,cumul_dist
N. Cape: Dennis,G87,3-4,2.07,11.44
N. Cape: Dennis,G88,1-2,6.96,6.96
N. Cape: Dennis,G88,2-3,4.19,11.15
N. Cape: Dennis,G88,3-4,2.73,13.88
N. Cape: Dennis,G89,1-2,5.92,5.92
N. Cape: Dennis,G89,2-3,3.15,9.07
N. Cape: Dennis,G89,3-4,2.32,11.39
N. Cape: Dennis,G89,4-5,1.47,12.86
S. Cape: Eel Pond,G90,,,
S. Cape: Eel Pond,G91,,,
S. Cape: Eel Pond,G92,,,
S. Cape: Eel Pond,G93,,,
S. Cape: Chatham,G94,,,
N. Cape: Barnstable,G95,,,
N. Cape: Barnstable,G96,,,
N. Cape: Dennis,G97,,,
N. Cape: Barnstable,G98,,,
N. Cape: Provincetown,G99,,,
S. Cape: Eel Pond,G100,,,
N. Cape: Dennis,G101,,,
N. Cape: Dennis,G102,,,
N. Cape: Dennis,G103,,,
N. Cape: Barnstable,G104,,,
N. Cape: Dennis,G105,,,
N. Cape: Provincetown,G106,,,
S. Cape: Chatham,G107,,,
N. Cape: Dennis,G108,,,
S. Cape: Eel Pond,G109,,,
S. Cape: Eel Pond,G110,,,
S. Cape: Eel Pond,G111,,,
S. Cape: Eel Pond,G112,,,
S. Cape: Eel Pond,G113,,,
N. Cape: Dennis,G114,,,
N. Cape: Barnstable,G115,,,
S. Cape: Eel Pond,G116,,,
S. Cape: Eel Pond,G117,,,
S. Cape: Eel Pond,G118,,,
S. Cape: Eel Pond,G119,,,
S. Cape: Eel Pond,G120,,,
N. Cape: Provincetown,A1,,,
N. Cape: Provincetown,A2,,,
N. Cape: Provincetown,A3,,,
