site,shell_num,age,growth_period,growth_year_range,chondro_dist_addition,chondro_cumul_dist,shell_cumul_dist,Param,Value
N. Cape: Barnstable,G70,2,1,1-2,10.22,10.22,104.624224,,
N. Cape: Provincetown,G71,2,1,1-2,6.33,6.33,75.320854,,
N. Cape: Provincetown,G71,3,2,2-3,3.61,9.94,102.656496,,
N. Cape: Provincetown,G71,4,3,3-4,2.58,12.52,119.956944,,
N. Cape: Provincetown,G71,5,4,4-5,1.37,13.89,128.386006,,
N. Cape: Provincetown,G71,6,5,5-6,1.13,15.02,134.942944,,
N. Cape: Provincetown,G72,1,,,,,53,,
N. Cape: Provincetown,G73,1,,,,,55.7,,
N. Cape: Provincetown,G74,2,1,1-2,4.85,4.85,63.05935,,
N. Cape: Provincetown,G74,3,2,2-3,3.26,8.11,89.255406,,
N. Cape: Provincetown,G75,2,1,1-2,6.41,6.41,75.966166,,
N. Cape: Provincetown,G75,3,2,2-3,3.28,9.69,100.881046,,
N. Cape: Provincetown,G76,2,1,1-2,6.26,6.26,74.754736,,
N. Cape: Provincetown,G76,3,2,2-3,3.13,9.39,98.727406,,
N. Cape: Provincetown,G76,4,3,3-4,1.64,11.03,110.192974,,
N. Cape: Barnstable,G77,2,1,1-2,5.38,5.38,67.520784,,
N. Cape: Barnstable,G77,3,2,2-3,3.53,8.91,95.229166,,
N. Cape: Barnstable,G77,4,3,3-4,2.95,11.86,115.708656,,
N. Cape: Barnstable,G77,5,4,4-5,1.68,13.54,126.282576,,
N. Cape: Barnstable,G77,6,5,5-6,1.6,15.14,135.618256,,
N. Cape: Barnstable,G77,7,6,6-7,1.18,16.32,142.044064,,
N. Cape: Barnstable,G77,8,7,7-8,1.44,17.76,149.357536,,
N. Cape: Barnstable,G77,9,8,8-9,1.1,18.86,154.553056,,
N. Cape: Barnstable,G77,10,9,9-10,0.71,19.57,157.726614,,
N. Cape: Barnstable,G78,2,1,1-2,6.36,6.36,75.563056,,
N. Cape: Barnstable,G78,3,2,2-3,3.46,9.82,101.806464,,
N. Cape: Barnstable,G78,4,3,3-4,1.43,11.25,111.67375,,
N. Cape: Barnstable,G78,5,4,4-5,2.11,13.36,125.187456,,
N. Cape: Provincetown,G79,2,1,1-2,6.37,6.37,75.643734,,
N. Cape: Provincetown,G80,2,1,1-2,5.76,5.76,70.671136,,
N. Cape: Provincetown,G80,3,2,2-3,2.62,8.38,91.291584,,
N. Cape: Dennis,G81,2,1,1-2,8.4,8.4,91.4416,,
N. Cape: Dennis,G81,3,2,2-3,3.12,11.52,113.472544,,
N. Cape: Dennis,G81,4,3,3-4,1.6,13.12,123.713184,,
N. Cape: Dennis,G81,5,4,4-5,1.55,14.67,132.950254,,
N. Cape: Dennis,G81,6,5,5-6,1.15,15.82,139.368864,,
N. Cape: Dennis,G81,7,6,6-7,0.85,16.67,143.875054,,
N. Cape: Dennis,G81,8,7,7-8,0.56,17.23,146.733294,,
N. Cape: Dennis,G81,9,8,8-9,0.31,17.54,148.277776,,
S. Cape: Chatham,G82,1,,,,,41.8,,
S. Cape: Chatham,G83,1,,,,,44.3,,
N. Cape: Dennis,G84 ,,,,,,,,
N. Cape: Dennis,G85,2,1,1-2,6.23,6.23,74.511694,,
N. Cape: Dennis,G85,3,2,2-3,2.88,9.11,96.694606,,
N. Cape: Dennis,G85,4,3,3-4,2.24,11.35,112.34235,,
N. Cape: Dennis,G85,5,4,4-5,1.28,12.63,120.653134,,
N. Cape: Dennis,G85,6,5,5-6,0.77,13.4,125.4316,,
N. Cape: Dennis,G85,7,6,6-7,0.49,13.89,128.386006,,
N. Cape: Dennis,G85,8,7,7-8,0.69,14.58,132.432304,,
N. Cape: Dennis,G85,9,8,8-9,0.47,15.05,135.11215,,
N. Cape: Dennis,G85,10,9,9-10,0.49,15.54,137.840176,,
N. Cape: Dennis,G86,2,1,1-2,5.2,5.2,66.0144,,
N. Cape: Dennis,G86,3,2,2-3,4.3,9.5,99.52,,
N. Cape: Dennis,G86,4,3,3-4,2.36,11.86,115.708656,,
N. Cape: Dennis,G87,2,1,1-2,5.97,5.97,72.394774,,
N. Cape: Dennis,G87,3,2,2-3,3.4,9.37,98.582934,,
N. Cape: Dennis,G87,4,3,3-4,2.07,11.44,112.941696,,
